Склад;Поклажедатель;ИНН;Наименование;Артикул;Колво
Екатеринбург;"ООО ""КАБЕЛЬНАЯ КОМПАНИЯ ""АМПЕР-СЕРВИС""";6659213481;Кабель КГ-ХЛ 3х2,5+1х1,5;УТ-00010273;70
Екатеринбург;"ООО ""КАБЕЛЬНАЯ КОМПАНИЯ ""АМПЕР-СЕРВИС""";6659213481;Кабель КГ-ХЛ 3х4+1х2,5;УТ-00010283;70
Екатеринбург;"ООО ""КАБЕЛЬНАЯ КОМПАНИЯ ""АМПЕР-СЕРВИС""";6659213481;Кабель КИПЭВнг(А)-LS 2х2х0,60;Кабель КИПЭВнг(А)-LS 2х2х;100
Екатеринбург;"ООО ""КАБЕЛЬНАЯ КОМПАНИЯ ""АМПЕР-СЕРВИС""";6659213481;Провод ПуГВ 0,75 бел. ГОСТ;УТ-00028541;30
Екатеринбург;"ООО ""КАБЕЛЬНАЯ КОМПАНИЯ ""АМПЕР-СЕРВИС""";6659213481;Провод ПУГВ 2,5 ж/з;УТ-00028699;400
Екатеринбург;"ООО ""МАТЕРИАЛЬНО-ТЕХНИЧЕСКОЕ СНАБЖЕНИЕ""";2466245835;Фильтр гидравлический ST30071;ST30071;2
Екатеринбург;"ООО ""МУЛТОН ПАРТНЕРС""";111111111;1.0Х12 ПЭТ РИЧ БИТТЕР ЛЕМОН;2420501;1560
Екатеринбург;"ООО ""ОЭСКЬЮ ТРЕЙДИНГ""";7734420298;Pasticciere. Подложка усиленная золото/жемчуг D 260 мм ( Толщина 3,2 мм ) (10 шт/упак);GWD260 (3,2);45
Екатеринбург;"ООО ""ОЭСКЬЮ ТРЕЙДИНГ""";7734420298;Pasticciere. Подложка усиленная золото/жемчуг D 280 мм ( Толщина 3,2 мм ) (10 шт/упак);GWD280 (3,2);45
Екатеринбург;"ООО ""ОЭСКЬЮ ТРЕЙДИНГ""";7734420298;Образцы Rn;ORN;3
Екатеринбург;"ООО ""ОЭСКЬЮ ТРЕЙДИНГ""";7734420298;Упаковка ECO OpSalad 500 Black Edition  (300 шт./кор.);ECO OpSalad 500 BE;600
Екатеринбург;"ООО ""ПРИМУЛА""";7730638889;ПРИМ Антишум ПРОФИ (12 х 1 л.);ПРИМАНТИШУМПРОФИ;72
Екатеринбург;"ООО ""ПЭК"" (ЕКБ)";7721823853;Виртуальный товар;ПЭК;5000
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;LED телевизор Haier 50 Smart TV S1;476451;1
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;LED телевизор Philips 55PUS8108/60;548160;1
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;Беспроводные наушники SAMSUNG Galaxy Buds FE Graphite (R400) (SM-R400NZAACIS);587176;1
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;Блендер RED SOLUTION RHB-CB2988;512304;1
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;водонагр. накопительный Thermex Garanterm Eco 50 V;275600;1
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;Духовой шкаф Haier HOQ-F3AAN3WB;543247;1
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;ЗУ Sturm! SBC1822 1BatterySystem 18 В, 2 x 4 А для двух батарей;424354;1
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;Настенный кронштейн для LED/LCD телевизоров TUAREX ALTA-407 BLACK;371318;1
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;п/м/м встр. ZUGEL ZDI452, белая;412369;1
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;плита настол. ZUGEL ZIHF60B, черная;480645;1
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;с/м Candy CSWS43642DB/2-07;327681;1
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;с/м Indesit EWUC 4105 CIS;281871;1
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;Смартфон Apple iPhone 15 Pro Max 512Gb титан Dual sim;578289;1
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;Увлажнитель воздуха DEERMA DEM-F600;346793;1
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;"Умный телевизор 50"" Яндекс ТВ Станция с Алисой";584368;1
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;Умный телевизор Yandex с Алисой 43;462856;1
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;х-к Атлант ХМ 4208-000;171749;1
Екатеринбург;"ООО ""Эдил-Импорт""";7733510051;хлебопечь Redmond RBM-M1910;180322;1
Казань;"ООО ""А-ВОСТОК""";1655428060;CARIUS EP 220, 25X0.4KG;400000045T;910
Казань;"ООО ""А-ВОСТОК""";1655428060;CARIUS EP 220,BARREL,180KG;400000045;4
Казань;"ООО ""А-ВОСТОК""";1655428060;HYDRO OIL HD 32,BARREL,180KG;400000205;29
Казань;"ООО ""А-ВОСТОК""";1655428060;HYDRO OIL HD 46,BARREL,180KG;400000210;12
Казань;"ООО ""А-ВОСТОК""";1655428060;HYDRO-TECH HVI 68,BARREL,180KG;400000234;4
Казань;"ООО ""А-ВОСТОК""";1655428060;KAP GRES 2, 25X0.4KG;400000255T;70
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIGEAR EP 75W-80,TNK,15KG;400000301;18
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIGEAR EP 80W-90,BARREL,185KG;400000311;6
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIGEAR EP-X 80W-90,FI?I,185KG;400000322;8
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIGEAR EP-X 85W-140,BARREL,185KG;400000324;4
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIGEAR EP-X 85W-90 LS,BARREL,185KG;400000327;5
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMA 10W-40 PLUS, 1L;400000347;776
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMA 10W-40 PLUS, 4L;400000349;140
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMA 5W-40, 4L;400000364P;2
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMA 5W-40, 4X4L;400000364;90
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMA DIESEL LA 5W-30, 12X1L;400000400;18
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMA DIESEL LA 5W-30, 1L;400000400P;4
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMA DIESEL LA 5W-30, 4X4L;400000401;36
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMA FM 5W-30 4L;400000409P;3
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMA FM 5W-30, 12X1L;400000408;63
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMA FM 5W-30, 4X4L;400000409;24
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMA HYBRID 0W-20,4X4L;400001487;20
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMA K 5W-30, 12X1L;400000422;132
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMA K 5W-30,4X4L;400001488;19
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMA K 5W-40, 4X4L;400000425;48
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMA XT 5W-30, 4L;400000456P;2
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMA XT 5W-30, 4X4L;400000456;27
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMUS 10W-40, Drum;400000479;12
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMUS 10W-40, Pail 20L;400000477;6
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMUS HD 10W-30,FI?I,180KG;400000485;12
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMUS HD-E 5W-30,FI?I,180KG;400000495;13
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMUS LA 10W-40, Drum;400000498;7
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMUS T.D. EXTRA 15W-40,FI?I,180KG;400000520;14
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXIMUS XT 10W-40,FI?I,180KG;400000532;18
Казань;"ООО ""А-ВОСТОК""";1655428060;MAXITRAK TMS OIL 500,FI?I,180KG;400000535;48
Казань;"ООО ""А-ВОСТОК""";1655428060;Petrol Ofisi моторное масло MAXIMA 10W-40 PLUS 4L;400000349P;3
Казань;"ООО ""А-ВОСТОК""";1655428060;TMS OIL 971,BDN,17.5KG;400000746;32
Казань;"ООО ""А-ВОСТОК""";1655428060;TMS OIL 973,BDN,17.5KG;400000748;74
Казань;"ООО ""А-ВОСТОК""";1655428060;TMS OIL 973,FI?I,180KG;400000749;11
Казань;"ООО ""А-ВОСТОК""";1655428060;Белое масло ADCO HEAVY WHITEOIL 46 (17кг);ADCOHW46;8
Казань;"ООО ""А-ВОСТОК""";1655428060;Белое масло ADCO HEAVY WHITEOIL 46 (500мл);ADCOHW46_500;3
Казань;"ООО ""А-ВОСТОК""";1655428060;Белое масло ADCO HEAVY WHITEOIL 68 (16,33кг);ADCOHW68;6
Казань;"ООО ""А-ВОСТОК""";1655428060;Белое масло ADCO HEAVY WHITEOIL 68 (500мл);ADCOHW68_500;3
Казань;"ООО ""А-ВОСТОК""";1655428060;Белое масло ADCO LIGHT WHITEOIL 15 (15кг);ADCOLW15;7
Казань;"ООО ""А-ВОСТОК""";1655428060;Белое масло ADCO LIGHT WHITEOIL 15 (500мл);ADCOLW15_500;3
Казань;"ООО ""А-ВОСТОК""";1655428060;Белое масло ADCO LIGHT WHITEOIL 22 (17кг);ADCOLW22;8
Казань;"ООО ""А-ВОСТОК""";1655428060;Белое масло ADCO LIGHT WHITEOIL 22 (500мл);ADCOLW22_500;3
Казань;"ООО ""А-ВОСТОК""";1655428060;Белое масло ADCO LIGHT WHITEOIL 32 (14кг);ADCOLW32;1
Казань;"ООО ""А-ВОСТОК""";1655428060;Масло моторное Petrol Ofisi MAXIMA XT 5W-30 Синтетическое 1л;400000455P;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Аппарат для сахарной ваты CC-3702 Foodatlas Eco;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Аппарат для спиральных чипсов (ручной) PS-1 Foodatlas;;4
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Блинница MLP-1 Foodatlas;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Блинница MLP-2 Foodatlas;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Вакуумный упаковщик c удалением жидкости DZ-300B Foodatlas Pro;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Вакуумный упаковщик DZ-260D Foodatlas Eco;;4
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Вакуумный упаковщик DZ-300/PD Foodatlas Eco;;4
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Вакуумный упаковщик DZ-300A Foodatlas Pro;УТ000008044;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Вакуумный упаковщик DZ-300A Foodatlas Pro (черный);;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Вакуумный упаковщик DZ-400/2F Foodatlas Eco;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Вакуумный упаковщик DZ-400A Foodatlas Eco;;3
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Вакуумный упаковщик DZ-500/2F Foodatlas Eco;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Вакуумный упаковщик бескамерный DZQ-500TE, (окрашенный корпус) Foodatlas Eco;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Вафельница Гонконгские вафли WZ-QQ Foodatlas Eco;УТ000008187;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Вафельница Корн-дог EB-Q1 Foodatlas Eco;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Вафельница Круг ZU-1 Foodatlas Eco;УТ000008185;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Вафельница Круг ZU-2 Foodatlas Eco;УТ000008186;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Витрина тепловая CY-2 Foodatlas;УТ000007677;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Витрина тепловая CY-2A Foodatlas;УТ000007679;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Витрина тепловая CY-3 Foodatlas;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Витрина холодильная RT-58L Foodatlas черный;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Витрина холодильная RT-78L Foodatlas белый;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Гильотина для мяса и костей HR-06 Foodatlas;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Гриль 3D LY-005A (инфракрасный, вращающийся) Foodatlas;ЦБ000000364;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Гриль роликовый CY-7A Foodatlas;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Датер полуавтомат HP-241B Foodatlas Pro;УТ000008085;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Датер ручной  DY-6A Foodatlas Pro;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Датер ручной DY-8 Foodatlas Pro;УТ000008084;7
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Жарочная поверхность EG-818 Foodatlas;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Жарочная поверхность EG-818 Foodatlas Eco;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Жарочная поверхность EG-818A Foodatlas Eco;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Жарочная поверхность EG-820 Foodatlas Eco;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Жарочная поверхность EG-821 Foodatlas Eco;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Жарочная поверхность EG-822 Foodatlas;УТ000008438;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Жарочная поверхность EG-822 Foodatlas Eco;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запаиватель напольный SF-B400 (транс-р справа) Foodatlas Pro;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запаиватель пакетов ручной PFS-200 (пластик, 2 мм) Foodatlas Pro;УТ000008068;9
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запаиватель пакетов ручной PFS-400 (пластик, 3 мм) Foodatlas;;3
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запайщик для рукава ручной SKA-300 Foodatlas Pro;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запайщик напольный SF-B400 Foodatlas Pro;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запайщик пакетов  BSL-380 Foodatlas Pro;УТ000008089;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запайщик пакетов ручной (нож с боку) FS-200C Foodatlas;;5
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запайщик пакетов ручной (нож с боку) FS-300C Foodatlas;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запайщик пакетов ручной (нож с боку) FS-400C Foodatlas;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запайщик пакетов ручной HI-600 Foodatlas Pro;УТ000008090;11
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запайщик пакетов ручной PFS-200 (металл, 2 мм) Foodatlas Pro;;10
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запайщик пакетов ручной PFS-300 (металл, 2 мм) Foodatlas Pro;;3
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запайщик пакетов ручной PFS-300 (пластик, 2 мм) Foodatlas Pro;;7
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запайщик пакетов ручной PFS-400 (металл, 2 мм) Foodatlas Pro;;3
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запайщик пакетов ручной PFS-400 (пластик, 2 мм) Foodatlas Pro;;3
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запайщик роликовый FR-770 (горизонтальный) Foodatlas Pro;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запайщик роликовый FR-900 (вертикальный) Foodatlas Pro;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Запайщик роликовый FR-900 (горизонтальный) Foodatlas Pro;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Измельчитель для овощей Foodatlas SDL-160;;3
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Измельчитель орехов, специй HR-06В Foodatlas;ЦБ000000112;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Измельчитель орехов, специй HR-08В Foodatlas;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Измельчитель орехов, специй HR-10В Foodatlas;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Измельчитель орехов, специй HR-16В Foodatlas;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Измельчитель орехов, специй HR-20В Foodatlas;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Измельчитель орехов, специй HR-30В Foodatlas;ЦБ000000117;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Измельчитель орехов, специй HR-40В Foodatlas;ЦБ000000118;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Измельчитель орехов, специй HR-50В Foodatlas;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Клипсатор ручной HR-550 Foodatlas;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Конвекционная печь HEB-4F Foodatlas;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Конвекционная печь HEB-8 Foodatlas;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Куттер для мяса, овощей CP-30 Foodatlas;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Лапшерезка электрическая Foodatlas DSS-200C;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Льдогенератор BY-1350F Foodatlas (куб, проточный);;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Льдогенератор BY-250F Foodatlas (куб, проточный);УТ000010732;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Льдогенератор BY-950F Foodatlas (куб, проточный);;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Льдогенератор IM-12 Foodatlas;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Льдогенератор IM-12SLE Foodatlas;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Льдогенератор MQ-60A Foodatlas Eco;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Макароноварка (4 емкости) EH-4A  Foodatlas Eco;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Мармит (6 бункеров) EH-6V Foodatlas;УТ000009158;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Машина тестомесильная Foodatlas HO-15A;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Машина тестомесильная Foodatlas HO-15B;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Машина тестомесильная Foodatlas HO-15D;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Машина тестомесильная Foodatlas HO-2;;5
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Машина тестомесильная Foodatlas HO-25A;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Машина тестомесильная Foodatlas HO-25B;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Машина тестомесильная Foodatlas HO-5;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Машина тестомесильная WHM(H)-25 Foodatlas (220V);;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Машина тестомесильная WHM(J)-12,5 Foodatlas (220V);;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Машина хлеборезательная SH-31 Foodatlas Eco;УТ000007649;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Мельница жерновая HR-1500 Foodatlas;ЦБ000000106;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Мельница жерновая HR-2200 Foodatlas;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Мельница жерновая HR-3600 Foodatlas;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Мешкозашивочная машина Foodatlas Eco GK-9-2;ЦБ000001115;4
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Мешкозашивочная машина Foodatlas GK-26-1A;;3
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Мешкозашивочная машина Foodatlas GK-9-2;;4
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Мешкозашивочная машина Foodatlas GK-9-2  (синий);;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Мешкозашивочная машина Foodatlas GK9-900А;УТ000008978;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Мешкозашивочная машина Foodatlas RZ-668;ЦБ000001114;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Миксер планетарный B-15A Foodatlas Eco;УТ000007636;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Миксер планетарный B-20BA Foodatlas Eco;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Миксер планетарный B-20FA Foodatlas Eco;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Миксер планетарный B-7A Foodatlas Eco, белый;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Миксер планетарный B-7A Foodatlas Eco, коричневый;УТ000010871;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Миксер планетарный B-7A Foodatlas Eco, фиолетовый;УТ000010873;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Миксер планетарный B-7A Foodatlas Eco, черный;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Морозильный шкаф SD-55 Foodatlas;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Мясорубка Foodatlas Eco KY-12;;9
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Мясорубка Foodatlas Eco KY-12P;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Мясорубка Foodatlas KY-12;;7
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Мясорубка TK-12 Foodatlas;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Мясорубка TK-12P Foodatlas;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Напольные торговые весы 1000кг/500гр Foodatlas ВТН-1000;УТ000009303;4
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Напольные торговые весы Foodatlas 100кг/20гр ВТН-100;;7
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Напольные торговые весы Foodatlas 150кг/50гр ВТН-150;;7
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Напольные торговые весы Foodatlas 300кг/100гр ВТН-300;;11
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Напольные торговые весы Foodatlas 60кг/10гр ВТН-60;;3
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Нож для шаурмы, кебаба, электрический KS100E Foodatlas;УТ000010151;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Овощерезка WED-QC205 Foodatlas;УТ000011383;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Овощерезка WED-QC205A Foodatlas;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Овощерезка WED-QC205B Foodatlas;УТ000011384;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Пельменный аппарат JGL 120-5B (AR) Foodatlas;233;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Пельменный аппарат JGL 135-5B (AR) Foodatlas;215;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Пельменный аппарат настольный JGL 60 (AR) Foodatlas;850;3
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Печь для пиццы HEP-1ST Foodatlas;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Печь для пиццы PZ-1T Foodatlas;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Пила для мяса ручная № 18 Foodatlas;УТ000011125;5
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Пила ленточная для мяса с мясорубкой Foodatlas JG-250;;2
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Плита индукционная Foodatlas FA-3500 Eco;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Плита индукционная Foodatlas FA-35002H Eco;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Плита индукционная Foodatlas FA-35002VK Eco;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Плита индукционная Foodatlas FA-3500K Eco;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Плита индукционная Foodatlas FA-3500W Eco;;1
Казань;"ООО ""АГРОРЕСУРС""";7448136166;Плита индукционная настольная Foodatlas FA-W3500 WOK (без импульса);;2
